Team ID,Team Name,Room Number
813097,CodeBreakers,213
816302,whyNoPyPy,515
816505,Silent 3lers,406
820015,GigaByteMe,403
819143,Jai_Shree_Ram,115
829645,codingKnights,512
824882,One,204
820204,Mavericks_FTW,214
822044,Code Monk,212
824892,AmritapuriChalteHai,201
828118,dpbois_,116
817381,TEAM DEAD,203
812897,Out of Bounds,117
828413,!Lucky,508
814194,Bits&Byts,405
813120,chatgptNaukriChor,317
815016,Code_smashers,316
816901,PLA_NRM,108
814992,kesarPista,306
826329,UnionFind,210
824428,AutoTransformers,303
830464,MAA,315
823236,ISDC,202
813088,TEAMX,104
832099,Noob_123z,414
829307,Ascending Alliance,410
826006,KawaiiKomderz,516
813876,BinarySearch,220
816142,Sirius,111
823902,Bytecode Velocity,518
826088,pmon gang,419
825179,Algorithm_Avengers,103
820949,borderline,418
821139,JigglyM0M0,307
811947,AGR Trichy Coders,114
828711,"UIET, PU",503
818683,Maximum Span*ing 3,416
817415,Team Unemployed,509
832562,BinaryBrain,118
819198,Aloo Paratha,415
823322,Just Use Bitset,309
827830,AlgoQube,502
828478,RECmates,216
814861,seg_fault,305
829780,FIGHTforAC,411
829778,Bruh,105
816533,O_Tree_kal_aana,209
816741,Mummy_Bula_Rhi,313
829703,Avengers: Age of Adhoc,310
832569,The Binary Battalion,219
830195,Kick bit,119
816813,BruteForce,120
812610,sponsored by telegram,211
826347,Silicon Avengers,511
820086,Works_For_Me,520
824687,75% Attendance,513
826184,11thHour,205
830228,NITS_QUARKS,302
821131,towrist,519
812908,LeetCode>>CodeForces,514
824255,O(1),304
823467,EulerMagic,206
825097,We Create Problems,407
830702,Proof,504
819503,Triehards,409
812921,DontStopMeNow,413
822314,maniACs,510
815286,read_it_carefully,106
832375,MLE,402
